Order_ID,Order_Date,Carrier,Route,Region,Shipment_Type,Promised_TAT_Days,Actual_TAT_Days,On_Time,In_Full,OTIF,Freight_Cost_INR,Service_Failure_Reason,TAT_Delay
ORD100025,2024-10-04,Delhivery,Surat-Nagpur,West,Express,2,2,TRUE,TRUE,TRUE,863.46,None,0
ORD100026,2024-04-05,Ekart,Delhi-Mumbai,North,Express,1,5,FALSE,TRUE,FALSE,1231.84,Weather Delay,4
ORD100027,2024-02-11,DTDC,Mumbai-Chennai,West,Express,1,2,FALSE,TRUE,FALSE,1048.13,None,1
ORD100028,2024-06-10,DTDC,Lucknow-Patna,East,Economy,8,11,FALSE,TRUE,FALSE,327.59,Customs Hold,3
ORD100029,2024-05-15,BlueDart,Mumbai-Chennai,West,Standard,5,5,TRUE,TRUE,TRUE,424.18,None,0
ORD100030,2024-10-05,Ekart,Bangalore-Hyderabad,South,Express,1,1,TRUE,TRUE,TRUE,839.49,None,0
ORD100031,2024-05-15,DTDC,Chennai-Pune,South,Economy,8,8,TRUE,TRUE,TRUE,265.2,None,0
ORD100032,2024-06-24,BlueDart,Mumbai-Chennai,West,Economy,8,8,TRUE,TRUE,TRUE,224.61,None,0
ORD100033,2024-03-07,Ekart,Kolkata-Delhi,North,Economy,7,9,FALSE,TRUE,FALSE,299.93,None,2
ORD100034,2024-03-17,Delhivery,Chennai-Pune,South,Economy,7,8,FALSE,TRUE,FALSE,202.92,Driver Shortage,1
ORD100035,2024-07-05,BlueDart,Bhopal-Indore,Central,Standard,5,5,TRUE,TRUE,TRUE,408.76,None,0
ORD100036,2024-03-20,Ekart,Delhi-Mumbai,North,Express,1,4,FALSE,TRUE,FALSE,1341.28,Driver Shortage,3
ORD100037,2024-05-07,Delhivery,Kolkata-Delhi,North,Express,2,3,FALSE,TRUE,FALSE,1292.22,Driver Shortage,1
ORD100038,2024-08-23,Delhivery,Chennai-Pune,South,Economy,6,7,FALSE,TRUE,FALSE,235.78,None,1
ORD100039,2024-05-22,Ekart,Jaipur-Ahmedabad,North,Express,1,1,TRUE,TRUE,TRUE,832.74,None,0
ORD100040,2024-02-29,Ekart,Mumbai-Chennai,West,Standard,5,6,FALSE,TRUE,FALSE,480.93,Weather Delay,1
ORD100041,2024-06-09,Delhivery,Chennai-Pune,South,Economy,7,7,TRUE,TRUE,TRUE,217.12,None,0
ORD100042,2024-12-09,DTDC,Lucknow-Patna,East,Economy,6,10,FALSE,TRUE,FALSE,397.34,Driver Shortage,4
ORD100043,2024-06-07,Ekart,Kolkata-Delhi,North,Standard,3,6,FALSE,TRUE,FALSE,623.91,High Volume Surge,3
ORD100044,2024-11-11,Ekart,Lucknow-Patna,East,Standard,5,7,FALSE,TRUE,FALSE,658.46,Vehicle Breakdown,2
ORD100045,2024-10-23,Ekart,Kochi-Coimbatore,South,Standard,5,5,TRUE,TRUE,TRUE,423.92,None,0
ORD100046,2024-03-27,Ekart,Kochi-Coimbatore,South,Standard,4,5,FALSE,TRUE,FALSE,451.01,Driver Shortage,1
ORD100047,2024-04-30,Ekart,Mumbai-Chennai,West,Economy,8,8,TRUE,TRUE,TRUE,239.89,None,0
ORD100048,2024-08-21,Delhivery,Chennai-Pune,South,Express,1,1,TRUE,FALSE,FALSE,932.27,Weather Delay,0
ORD100049,2024-04-22,DTDC,Lucknow-Patna,East,Express,2,5,FALSE,FALSE,FALSE,1754.97,Customs Hold,3
ORD100050,2024-10-13,DTDC,Bangalore-Hyderabad,South,Standard,3,5,FALSE,TRUE,FALSE,468.82,High Volume Surge,2
ORD100051,2024-08-31,Ekart,Kochi-Coimbatore,South,Standard,5,6,FALSE,TRUE,FALSE,454.31,Driver Shortage,1
ORD100052,2024-05-26,Ekart,Surat-Nagpur,West,Express,2,3,FALSE,TRUE,FALSE,811.68,None,1
ORD100053,2024-07-31,Ekart,Kolkata-Delhi,North,Standard,4,7,FALSE,TRUE,FALSE,640.12,Weather Delay,3
ORD100054,2024-01-11,Ekart,Lucknow-Patna,East,Economy,7,9,FALSE,TRUE,FALSE,339.13,Driver Shortage,2
ORD100055,2024-10-06,XpressBees,Kochi-Coimbatore,South,Standard,3,4,FALSE,TRUE,FALSE,623.67,Driver Shortage,1
ORD100056,2024-06-21,Delhivery,Kochi-Coimbatore,South,Standard,3,3,TRUE,TRUE,TRUE,407.61,None,0
ORD100057,2024-08-07,Delhivery,Lucknow-Patna,East,Standard,3,6,FALSE,TRUE,FALSE,686.58,None,3
ORD100058,2024-08-03,XpressBees,Bangalore-Hyderabad,South,Express,1,3,FALSE,TRUE,FALSE,979.4,Address Issue,2
ORD100059,2024-11-28,BlueDart,Chennai-Pune,South,Standard,3,3,TRUE,TRUE,TRUE,436.5,None,0
ORD100060,2024-05-02,BlueDart,Mumbai-Chennai,West,Express,1,1,TRUE,TRUE,TRUE,870.63,None,0
ORD100061,2024-02-28,XpressBees,Bangalore-Hyderabad,South,Economy,6,8,FALSE,TRUE,FALSE,246.63,Driver Shortage,2
ORD100062,2024-07-11,Ekart,Bangalore-Hyderabad,South,Express,1,1,TRUE,TRUE,TRUE,919.36,None,0
ORD100063,2024-06-26,Delhivery,Lucknow-Patna,East,Express,1,2,FALSE,TRUE,FALSE,1162.75,Weather Delay,1
ORD100064,2024-11-21,XpressBees,Bhopal-Indore,Central,Economy,7,7,TRUE,FALSE,FALSE,259.97,Address Issue,0
ORD100065,2024-09-04,Delhivery,Surat-Nagpur,West,Standard,3,3,TRUE,TRUE,TRUE,487.77,None,0
ORD100066,2024-08-25,XpressBees,Surat-Nagpur,West,Economy,8,9,FALSE,TRUE,FALSE,255.52,Vehicle Breakdown,1
ORD100067,2024-06-23,DTDC,Kochi-Coimbatore,South,Economy,7,8,FALSE,TRUE,FALSE,255.66,Address Issue,1
ORD100068,2024-05-03,DTDC,Chennai-Pune,South,Economy,7,9,FALSE,TRUE,FALSE,237.45,High Volume Surge,2
ORD100069,2024-10-24,XpressBees,Surat-Nagpur,West,Standard,3,3,TRUE,TRUE,TRUE,535.66,None,0
ORD100070,2024-05-08,XpressBees,Jaipur-Ahmedabad,North,Economy,8,10,FALSE,TRUE,FALSE,258.33,Address Issue,2
ORD100071,2024-09-04,BlueDart,Kolkata-Delhi,North,Economy,6,8,FALSE,TRUE,FALSE,362.02,None,2
ORD100072,2024-09-30,DTDC,Chennai-Pune,South,Economy,8,9,FALSE,TRUE,FALSE,247.94,Driver Shortage,1
ORD100073,2024-09-08,Ekart,Bangalore-Hyderabad,South,Express,1,1,TRUE,TRUE,TRUE,786.47,None,0
ORD100074,2024-09-01,BlueDart,Mumbai-Chennai,West,Economy,7,8,FALSE,TRUE,FALSE,212.99,Address Issue,1
ORD100075,2024-03-18,BlueDart,Mumbai-Chennai,West,Standard,4,4,TRUE,TRUE,TRUE,466.78,None,0
ORD100076,2024-11-12,DTDC,Bangalore-Hyderabad,South,Standard,3,3,TRUE,TRUE,TRUE,542.69,None,0
ORD100077,2024-11-16,DTDC,Kolkata-Delhi,North,Standard,4,8,FALSE,TRUE,FALSE,856.52,Vehicle Breakdown,4
ORD100078,2024-08-28,Ekart,Kolkata-Delhi,North,Economy,6,7,FALSE,TRUE,FALSE,262.01,High Volume Surge,1
ORD100079,2024-12-17,BlueDart,Chennai-Pune,South,Express,2,2,TRUE,TRUE,TRUE,842.19,None,0
ORD100080,2024-02-06,Ekart,Kolkata-Delhi,North,Economy,8,11,FALSE,TRUE,FALSE,331.45,Vehicle Breakdown,3
ORD100081,2024-09-13,Delhivery,Delhi-Mumbai,North,Standard,5,8,FALSE,TRUE,FALSE,622.87,Address Issue,3
ORD100082,2024-04-27,XpressBees,Bhopal-Indore,Central,Standard,3,5,FALSE,TRUE,FALSE,572.75,None,2
ORD100083,2024-04-02,DTDC,Kochi-Coimbatore,South,Express,2,4,FALSE,TRUE,FALSE,968.44,Address Issue,2
ORD100084,2024-07-29,XpressBees,Kochi-Coimbatore,South,Economy,7,8,FALSE,TRUE,FALSE,265.4,Address Issue,1
ORD100085,2024-06-14,Ekart,Surat-Nagpur,West,Economy,7,7,TRUE,TRUE,TRUE,211.84,None,0
ORD100086,2024-08-14,XpressBees,Mumbai-Chennai,West,Economy,6,9,FALSE,TRUE,FALSE,243.34,Driver Shortage,3
ORD100087,2024-05-02,Delhivery,Delhi-Mumbai,North,Standard,5,6,FALSE,TRUE,FALSE,627.83,High Volume Surge,1
ORD100088,2024-03-01,Ekart,Bangalore-Hyderabad,South,Economy,6,7,FALSE,TRUE,FALSE,241.66,Customs Hold,1
ORD100089,2024-07-15,XpressBees,Bangalore-Hyderabad,South,Economy,7,9,FALSE,TRUE,FALSE,261.77,Vehicle Breakdown,2
ORD100090,2024-01-02,DTDC,Kolkata-Delhi,North,Economy,8,9,FALSE,TRUE,FALSE,422.92,None,1
ORD100091,2024-10-09,Ekart,Chennai-Pune,South,Economy,8,9,FALSE,TRUE,FALSE,217.65,Address Issue,1
ORD100092,2024-01-23,XpressBees,Bhopal-Indore,Central,Standard,4,4,TRUE,TRUE,TRUE,544.46,None,0
ORD100093,2024-08-13,XpressBees,Jaipur-Ahmedabad,North,Economy,7,8,FALSE,TRUE,FALSE,243.74,Weather Delay,1
ORD100094,2024-06-22,DTDC,Mumbai-Chennai,West,Standard,3,5,FALSE,TRUE,FALSE,515.64,Address Issue,2
ORD100095,2024-01-19,XpressBees,Kochi-Coimbatore,South,Economy,6,8,FALSE,TRUE,FALSE,290.47,High Volume Surge,2
ORD100096,2024-02-20,BlueDart,Kochi-Coimbatore,South,Express,2,2,TRUE,TRUE,TRUE,838.78,None,0
ORD100097,2024-08-08,XpressBees,Mumbai-Chennai,West,Express,2,2,TRUE,TRUE,TRUE,917.8,None,0
ORD100098,2024-07-14,Delhivery,Bangalore-Hyderabad,South,Economy,7,7,TRUE,TRUE,TRUE,201.47,None,0
ORD100099,2024-08-23,Delhivery,Kochi-Coimbatore,South,Standard,5,5,TRUE,TRUE,TRUE,462.41,None,0
ORD100100,2024-10-27,BlueDart,Chennai-Pune,South,Standard,4,4,TRUE,TRUE,TRUE,490.07,None,0
ORD100101,2024-10-19,XpressBees,Chennai-Pune,South,Economy,7,8,FALSE,TRUE,FALSE,258.06,None,1
ORD100102,2024-01-26,DTDC,Jaipur-Ahmedabad,North,Standard,5,6,FALSE,TRUE,FALSE,529.24,Driver Shortage,1
ORD100103,2024-12-14,XpressBees,Kochi-Coimbatore,South,Standard,3,5,FALSE,TRUE,FALSE,486.57,Driver Shortage,2
ORD100104,2024-10-23,BlueDart,Bangalore-Hyderabad,South,Economy,8,8,TRUE,TRUE,TRUE,217.4,None,0
ORD100105,2024-03-08,Delhivery,Jaipur-Ahmedabad,North,Express,2,2,TRUE,TRUE,TRUE,794.86,None,0
ORD100106,2024-09-03,Ekart,Bhopal-Indore,Central,Economy,8,8,TRUE,TRUE,TRUE,209.31,None,0
ORD100107,2024-12-12,Ekart,Chennai-Pune,South,Express,2,2,TRUE,TRUE,TRUE,929.31,None,0
ORD100108,2024-07-09,DTDC,Lucknow-Patna,East,Standard,3,5,FALSE,TRUE,FALSE,825.52,Driver Shortage,2
ORD100109,2024-02-02,Delhivery,Mumbai-Chennai,West,Standard,3,3,TRUE,TRUE,TRUE,424.92,None,0
ORD100110,2024-06-04,Ekart,Surat-Nagpur,West,Economy,7,7,TRUE,TRUE,TRUE,239.64,None,0
ORD100111,2024-12-22,BlueDart,Surat-Nagpur,West,Express,1,1,TRUE,TRUE,TRUE,828.07,None,0
ORD100112,2024-01-17,XpressBees,Bhopal-Indore,Central,Economy,8,10,FALSE,TRUE,FALSE,288.89,Address Issue,2
ORD100113,2024-12-17,Delhivery,Jaipur-Ahmedabad,North,Standard,4,4,TRUE,TRUE,TRUE,413.94,None,0
ORD100114,2024-12-05,DTDC,Jaipur-Ahmedabad,North,Economy,7,8,FALSE,TRUE,FALSE,310.16,Weather Delay,1
ORD100115,2024-06-17,DTDC,Kolkata-Delhi,North,Express,1,3,FALSE,TRUE,FALSE,1481.02,Vehicle Breakdown,2
ORD100116,2024-01-14,DTDC,Bangalore-Hyderabad,South,Express,2,2,TRUE,TRUE,TRUE,987.21,None,0
ORD100117,2024-08-03,BlueDart,Bangalore-Hyderabad,South,Standard,3,3,TRUE,FALSE,FALSE,428.88,None,0
ORD100118,2024-09-14,BlueDart,Bhopal-Indore,Central,Economy,6,7,FALSE,TRUE,FALSE,213.93,Customs Hold,1
ORD100119,2024-02-07,DTDC,Kolkata-Delhi,North,Express,2,6,FALSE,FALSE,FALSE,1502.33,Customs Hold,4
ORD100120,2024-10-26,Ekart,Mumbai-Chennai,West,Economy,6,6,TRUE,TRUE,TRUE,225.47,None,0
ORD100121,2024-02-20,Ekart,Bhopal-Indore,Central,Standard,5,5,TRUE,TRUE,TRUE,459.49,None,0
ORD100122,2024-02-18,DTDC,Mumbai-Chennai,West,Economy,6,8,FALSE,TRUE,FALSE,277.25,Driver Shortage,2
ORD100123,2024-02-13,XpressBees,Jaipur-Ahmedabad,North,Standard,5,6,FALSE,TRUE,FALSE,553.95,None,1
ORD100124,2024-03-03,XpressBees,Mumbai-Chennai,West,Express,2,2,TRUE,TRUE,TRUE,995.36,None,0
ORD100125,2024-03-20,Ekart,Lucknow-Patna,East,Economy,7,10,FALSE,TRUE,FALSE,315.97,Vehicle Breakdown,3
ORD100126,2024-04-25,Delhivery,Surat-Nagpur,West,Express,2,2,TRUE,TRUE,TRUE,812.36,None,0
ORD100127,2024-06-07,DTDC,Lucknow-Patna,East,Economy,8,13,FALSE,TRUE,FALSE,369.6,None,5
ORD100128,2024-03-13,Ekart,Jaipur-Ahmedabad,North,Express,1,1,TRUE,TRUE,TRUE,833.13,None,0
ORD100129,2024-11-01,BlueDart,Delhi-Mumbai,North,Economy,8,10,FALSE,TRUE,FALSE,300.48,High Volume Surge,2
ORD100130,2024-12-04,BlueDart,Mumbai-Chennai,West,Express,1,1,TRUE,TRUE,TRUE,811.26,None,0
ORD100131,2024-09-26,XpressBees,Lucknow-Patna,East,Economy,7,10,FALSE,TRUE,FALSE,333.01,Customs Hold,3
ORD100132,2024-03-11,BlueDart,Chennai-Pune,South,Express,2,2,TRUE,FALSE,FALSE,816.24,None,0
ORD100133,2024-03-07,Ekart,Chennai-Pune,South,Standard,3,3,TRUE,TRUE,TRUE,443.76,None,0
ORD100134,2024-10-21,DTDC,Lucknow-Patna,East,Economy,6,11,FALSE,FALSE,FALSE,343.48,Address Issue,5
ORD100135,2024-07-04,DTDC,Lucknow-Patna,East,Standard,5,9,FALSE,FALSE,FALSE,726.05,Driver Shortage,4
ORD100136,2024-03-27,XpressBees,Mumbai-Chennai,West,Express,1,3,FALSE,TRUE,FALSE,964.25,Address Issue,2
ORD100137,2024-04-30,DTDC,Mumbai-Chennai,West,Economy,6,8,FALSE,TRUE,FALSE,269.08,Vehicle Breakdown,2
ORD100138,2024-12-01,Delhivery,Mumbai-Chennai,West,Standard,3,3,TRUE,TRUE,TRUE,473.42,None,0
ORD100139,2024-11-25,Delhivery,Mumbai-Chennai,West,Economy,7,8,FALSE,TRUE,FALSE,231.43,High Volume Surge,1
ORD100140,2024-11-19,Ekart,Kochi-Coimbatore,South,Economy,7,7,TRUE,TRUE,TRUE,218.63,None,0
ORD100141,2024-08-19,Ekart,Chennai-Pune,South,Economy,6,6,TRUE,TRUE,TRUE,211.66,None,0
ORD100142,2024-01-22,BlueDart,Delhi-Mumbai,North,Standard,4,5,FALSE,TRUE,FALSE,648.58,Driver Shortage,1
ORD100143,2024-02-13,DTDC,Surat-Nagpur,West,Economy,6,8,FALSE,TRUE,FALSE,281.33,Address Issue,2
ORD100144,2024-07-09,Delhivery,Bhopal-Indore,Central,Express,1,2,FALSE,TRUE,FALSE,854.09,Address Issue,1
ORD100145,2024-12-13,XpressBees,Chennai-Pune,South,Standard,4,6,FALSE,TRUE,FALSE,505.22,None,2
ORD100146,2024-12-23,Ekart,Lucknow-Patna,East,Standard,5,8,FALSE,TRUE,FALSE,616.08,Driver Shortage,3
ORD100147,2024-12-25,Delhivery,Lucknow-Patna,East,Economy,8,9,FALSE,TRUE,FALSE,317.2,None,1
ORD100148,2024-06-23,BlueDart,Bhopal-Indore,Central,Economy,8,9,FALSE,TRUE,FALSE,198.8,Vehicle Breakdown,1
ORD100149,2024-02-21,Delhivery,Surat-Nagpur,West,Express,1,1,TRUE,TRUE,TRUE,908.55,None,0
ORD100150,2024-03-19,DTDC,Bhopal-Indore,Central,Economy,8,8,TRUE,TRUE,TRUE,274.43,None,0
ORD100151,2024-07-05,Delhivery,Bangalore-Hyderabad,South,Economy,8,8,TRUE,TRUE,TRUE,199.92,None,0
ORD100152,2024-12-13,XpressBees,Kolkata-Delhi,North,Economy,7,11,FALSE,TRUE,FALSE,384.23,Address Issue,4
ORD100153,2024-05-08,XpressBees,Kochi-Coimbatore,South,Standard,4,6,FALSE,TRUE,FALSE,602.77,None,2
ORD100154,2024-08-11,XpressBees,Delhi-Mumbai,North,Standard,5,8,FALSE,TRUE,FALSE,858.75,None,3
ORD100155,2024-07-10,Delhivery,Mumbai-Chennai,West,Standard,4,4,TRUE,TRUE,TRUE,440.68,None,0
ORD100156,2024-05-26,XpressBees,Kolkata-Delhi,North,Express,2,3,FALSE,TRUE,FALSE,1716.89,None,1
ORD100157,2024-04-20,Delhivery,Surat-Nagpur,West,Economy,7,8,FALSE,TRUE,FALSE,237.86,None,1
ORD100158,2024-08-02,DTDC,Bangalore-Hyderabad,South,Economy,8,11,FALSE,FALSE,FALSE,244.55,None,3
ORD100159,2024-01-01,XpressBees,Kochi-Coimbatore,South,Express,1,2,FALSE,TRUE,FALSE,1077.9,None,1
ORD100160,2024-07-03,Ekart,Kochi-Coimbatore,South,Express,2,2,TRUE,TRUE,TRUE,779.55,None,0
ORD100161,2024-01-09,DTDC,Mumbai-Chennai,West,Economy,8,10,FALSE,TRUE,FALSE,269.81,Address Issue,2
ORD100162,2024-06-19,BlueDart,Jaipur-Ahmedabad,North,Standard,3,3,TRUE,TRUE,TRUE,471.17,None,0
ORD100163,2024-12-16,BlueDart,Bangalore-Hyderabad,South,Standard,5,5,TRUE,TRUE,TRUE,420.76,None,0
ORD100164,2024-04-13,XpressBees,Surat-Nagpur,West,Economy,6,6,TRUE,TRUE,TRUE,257.26,None,0
ORD100165,2024-05-26,Delhivery,Delhi-Mumbai,North,Express,2,5,FALSE,TRUE,FALSE,1182.12,Vehicle Breakdown,3
ORD100166,2024-07-23,BlueDart,Jaipur-Ahmedabad,North,Economy,7,7,TRUE,TRUE,TRUE,214.19,None,0
ORD100167,2024-08-05,XpressBees,Surat-Nagpur,West,Standard,3,5,FALSE,TRUE,FALSE,540.31,None,2
ORD100168,2024-08-06,XpressBees,Mumbai-Chennai,West,Economy,6,8,FALSE,TRUE,FALSE,253.42,High Volume Surge,2
ORD100169,2024-01-30,XpressBees,Bangalore-Hyderabad,South,Standard,4,4,TRUE,TRUE,TRUE,549.04,None,0
ORD100170,2024-03-05,XpressBees,Mumbai-Chennai,West,Standard,5,7,FALSE,TRUE,FALSE,518.78,Weather Delay,2
ORD100171,2024-11-05,Delhivery,Mumbai-Chennai,West,Economy,7,7,TRUE,TRUE,TRUE,222.96,None,0
ORD100172,2024-02-28,XpressBees,Bangalore-Hyderabad,South,Standard,4,5,FALSE,TRUE,FALSE,531.58,Vehicle Breakdown,1
ORD100173,2024-12-21,Delhivery,Delhi-Mumbai,North,Standard,5,7,FALSE,TRUE,FALSE,613.48,Address Issue,2
ORD100174,2024-08-15,Delhivery,Surat-Nagpur,West,Express,1,1,TRUE,TRUE,TRUE,917.78,None,0
ORD100175,2024-06-02,Ekart,Mumbai-Chennai,West,Economy,7,7,TRUE,TRUE,TRUE,210.78,None,0
ORD100176,2024-03-12,Delhivery,Bangalore-Hyderabad,South,Standard,5,5,TRUE,TRUE,TRUE,423.09,None,0
ORD100177,2024-07-22,XpressBees,Kolkata-Delhi,North,Express,2,7,FALSE,TRUE,FALSE,1643.72,None,5
ORD100178,2024-06-25,DTDC,Surat-Nagpur,West,Standard,4,6,FALSE,FALSE,FALSE,478.94,High Volume Surge,2
ORD100179,2024-03-04,DTDC,Bangalore-Hyderabad,South,Economy,8,8,TRUE,TRUE,TRUE,256.99,None,0
ORD100180,2024-06-26,Delhivery,Bhopal-Indore,Central,Standard,3,3,TRUE,TRUE,TRUE,468.84,None,0
ORD100181,2024-03-05,Ekart,Bhopal-Indore,Central,Express,2,2,TRUE,TRUE,TRUE,858.64,None,0
ORD100182,2024-06-21,DTDC,Chennai-Pune,South,Economy,6,8,FALSE,TRUE,FALSE,249.95,High Volume Surge,2
ORD100183,2024-05-15,BlueDart,Kochi-Coimbatore,South,Express,1,1,TRUE,TRUE,TRUE,896.07,None,0
ORD100184,2024-12-16,DTDC,Kolkata-Delhi,North,Standard,5,9,FALSE,TRUE,FALSE,777.05,None,4
ORD100185,2024-06-09,Ekart,Lucknow-Patna,East,Standard,3,6,FALSE,TRUE,FALSE,636.55,Vehicle Breakdown,3
ORD100186,2024-05-03,Ekart,Jaipur-Ahmedabad,North,Standard,3,3,TRUE,TRUE,TRUE,414.56,None,0
ORD100187,2024-07-15,BlueDart,Surat-Nagpur,West,Standard,4,4,TRUE,TRUE,TRUE,409.55,None,0
ORD100188,2024-09-11,XpressBees,Kochi-Coimbatore,South,Express,1,2,FALSE,TRUE,FALSE,1057.52,Address Issue,1
ORD100189,2024-12-10,BlueDart,Delhi-Mumbai,North,Standard,5,7,FALSE,TRUE,FALSE,575.77,Driver Shortage,2
ORD100190,2024-07-06,Ekart,Surat-Nagpur,West,Economy,6,6,TRUE,TRUE,TRUE,236.83,None,0
ORD100191,2024-05-23,Ekart,Lucknow-Patna,East,Express,2,3,FALSE,TRUE,FALSE,1151.8,High Volume Surge,1
ORD100192,2024-04-11,DTDC,Kochi-Coimbatore,South,Express,1,2,FALSE,TRUE,FALSE,1115.51,Vehicle Breakdown,1
ORD100193,2024-11-06,DTDC,Kochi-Coimbatore,South,Standard,5,5,TRUE,FALSE,FALSE,593.22,Vehicle Breakdown,0
ORD100194,2024-06-02,Delhivery,Bhopal-Indore,Central,Standard,5,5,TRUE,TRUE,TRUE,494.16,None,0
ORD100195,2024-06-18,Ekart,Kochi-Coimbatore,South,Economy,8,9,FALSE,TRUE,FALSE,211.19,Address Issue,1
ORD100196,2024-10-22,XpressBees,Mumbai-Chennai,West,Economy,7,9,FALSE,TRUE,FALSE,261.58,High Volume Surge,2
ORD100197,2024-04-07,BlueDart,Kolkata-Delhi,North,Economy,7,9,FALSE,TRUE,FALSE,299.92,Weather Delay,2
ORD100198,2024-12-27,XpressBees,Delhi-Mumbai,North,Standard,4,6,FALSE,TRUE,FALSE,951.57,Weather Delay,2
ORD100199,2024-10-06,DTDC,Bangalore-Hyderabad,South,Express,2,5,FALSE,TRUE,FALSE,923.74,Address Issue,3
ORD100200,2024-06-01,Ekart,Jaipur-Ahmedabad,North,Economy,7,7,TRUE,TRUE,TRUE,210.28,None,0
ORD100201,2024-05-27,Ekart,Kolkata-Delhi,North,Standard,5,7,FALSE,TRUE,FALSE,686.92,Address Issue,2
ORD100202,2024-05-27,DTDC,Mumbai-Chennai,West,Economy,8,10,FALSE,TRUE,FALSE,301.31,None,2
ORD100203,2024-10-02,Ekart,Mumbai-Chennai,West,Standard,5,5,TRUE,TRUE,TRUE,424.26,None,0
ORD100204,2024-12-08,DTDC,Chennai-Pune,South,Economy,7,7,TRUE,TRUE,TRUE,254.03,None,0
ORD100205,2024-08-29,Delhivery,Bhopal-Indore,Central,Economy,6,6,TRUE,TRUE,TRUE,212.53,None,0
ORD100206,2024-04-12,Delhivery,Mumbai-Chennai,West,Express,1,2,FALSE,TRUE,FALSE,914.71,Driver Shortage,1
ORD100207,2024-10-20,Ekart,Chennai-Pune,South,Standard,5,5,TRUE,TRUE,TRUE,413.05,None,0
ORD100208,2024-04-05,DTDC,Kolkata-Delhi,North,Economy,8,10,FALSE,TRUE,FALSE,420.09,Customs Hold,2
ORD100209,2024-08-20,BlueDart,Chennai-Pune,South,Express,2,2,TRUE,TRUE,TRUE,821.96,None,0
ORD100210,2024-05-11,DTDC,Bhopal-Indore,Central,Standard,3,6,FALSE,TRUE,FALSE,548.57,Driver Shortage,3
